traffic_type,packet_count,total_bytes,avg_packet_length,min_packet_length,max_packet_length,duration,packets_per_second,bytes_per_second,tcp_count,udp_count,icmp_count,syn_count,ack_count,rst_count,fin_count,psh_count,urg_count,unique_src_ports,unique_dst_ports,unique_src_ips,unique_dst_ips,port_20_count,port_21_count,port_22_count,port_80_count,port_443_count,top_dst_port,avg_bytes_per_pkt,rst_syn_ratio,rst_per_second,unique_src_ports_log,port_entropy,port22_rst_product,port22_src_diversity,label
normal_ping,2,196,98.0,98,98,0.000141143798828125,14169.945945945947,1388654.7027027027,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00010991096496582031,18196.546637744035,1783261.5704989154,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011801719665527344,16946.68282828283,1660774.9171717172,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0001289844512939453,15505.744916820702,1519563.0018484287,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00012493133544921875,16008.79389312977,1568861.8015267176,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00022792816162109375,8774.694560669455,859920.0669456067,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00013589859008789062,14716.856140350877,1442251.901754386,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00010704994201660156,18682.86859688196,1830921.1224944321,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00018215179443359375,10979.853403141362,1076025.6335078534,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011706352233886719,17084.741344195518,1674304.651731161,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,8.797645568847656e-05,22733.355013550135,2227868.7913279133,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00010514259338378906,19021.786848072563,1864135.111111111,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,8.392333984375e-05,23831.272727272728,2335464.727272727,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00012993812561035156,15391.94128440367,1508410.2458715597,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011110305786132812,18001.304721030043,1764127.8626609442,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0002090930938720703,9565.117445838085,937381.5096921322,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00014400482177734375,13888.423841059603,1361065.536423841,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
